,objects,scores,path
0,Glasses,0.8684309720993042,data/kayaancontractor_100226_2868439159916464863_205_2/images/2022-06-25_13-43-36_UTC_1.jpg
1,Top,0.6137599945068359,data/kayaancontractor_100226_2868439159916464863_205_2/images/2022-06-25_13-43-36_UTC_1.jpg
2,Animal,0.6070237159729004,data/kayaancontractor_100226_2868439159916464863_205_2/images/2022-06-25_13-43-36_UTC_1.jpg
3,Person,0.6012780666351318,data/kayaancontractor_100226_2868439159916464863_205_2/images/2022-06-25_13-43-36_UTC_1.jpg
4,Clothing,0.5938125848770142,data/kayaancontractor_100226_2868439159916464863_205_2/images/2022-06-25_13-43-36_UTC_1.jpg
5,Person,0.5850436091423035,data/kayaancontractor_100226_2868439159916464863_205_2/images/2022-06-25_13-43-36_UTC_1.jpg
6,Top,0.5375576019287109,data/kayaancontractor_100226_2868439159916464863_205_2/images/2022-06-25_13-43-36_UTC_1.jpg
0,Glasses,0.8834806680679321,data/kayaancontractor_100226_2868439159916464863_205_2/images/2022-06-25_13-43-36_UTC_3.jpg
0,Glasses,0.9064130783081055,data/kayaancontractor_100226_2868439159916464863_205_2/images/2022-06-25_13-43-36_UTC_2.jpg
0,Sun hat,0.6957930326461792,data/debasreee_307029_3066886135067171352_7650_20/images/2023-03-26_09-02-19_UTC_1.jpg
1,Straw hat,0.6874970197677612,data/debasreee_307029_3066886135067171352_7650_20/images/2023-03-26_09-02-19_UTC_1.jpg
2,Person,0.6570420861244202,data/debasreee_307029_3066886135067171352_7650_20/images/2023-03-26_09-02-19_UTC_1.jpg
3,Person,0.6183503866195679,data/debasreee_307029_3066886135067171352_7650_20/images/2023-03-26_09-02-19_UTC_1.jpg
4,Hat,0.5521557927131653,data/debasreee_307029_3066886135067171352_7650_20/images/2023-03-26_09-02-19_UTC_1.jpg
0,Drink,0.5680268406867981,data/debasreee_307029_3066886135067171352_7650_20/images/2023-03-26_09-02-19_UTC_2.jpg
1,Clothing,0.5281808376312256,data/debasreee_307029_3066886135067171352_7650_20/images/2023-03-26_09-02-19_UTC_2.jpg
0,Sun hat,0.7128486633300781,data/debasreee_307029_3066886135067171352_7650_20/images/2023-03-26_09-02-19_UTC_4.jpg
1,Cowboy hat,0.6744345426559448,data/debasreee_307029_3066886135067171352_7650_20/images/2023-03-26_09-02-19_UTC_4.jpg
2,Footwear,0.6706249713897705,data/debasreee_307029_3066886135067171352_7650_20/images/2023-03-26_09-02-19_UTC_4.jpg
3,Shoe,0.6702104806900024,data/debasreee_307029_3066886135067171352_7650_20/images/2023-03-26_09-02-19_UTC_4.jpg
4,Shoe,0.6660467982292175,data/debasreee_307029_3066886135067171352_7650_20/images/2023-03-26_09-02-19_UTC_4.jpg
5,Footwear,0.6624481081962585,data/debasreee_307029_3066886135067171352_7650_20/images/2023-03-26_09-02-19_UTC_4.jpg
6,Sandal,0.6192946434020996,data/debasreee_307029_3066886135067171352_7650_20/images/2023-03-26_09-02-19_UTC_4.jpg
7,Sandal,0.6093655228614807,data/debasreee_307029_3066886135067171352_7650_20/images/2023-03-26_09-02-19_UTC_4.jpg
8,Sandal,0.5915123820304871,data/debasreee_307029_3066886135067171352_7650_20/images/2023-03-26_09-02-19_UTC_4.jpg
9,Fedora,0.5857052803039551,data/debasreee_307029_3066886135067171352_7650_20/images/2023-03-26_09-02-19_UTC_4.jpg
0,Clothing,0.6297181248664856,data/shereenlovebug_333413_3029832820659598377_456_27/images/2023-02-03_06-03-59_UTC_2.jpg
1,Top,0.5768319368362427,data/shereenlovebug_333413_3029832820659598377_456_27/images/2023-02-03_06-03-59_UTC_2.jpg
2,Person,0.5418338179588318,data/shereenlovebug_333413_3029832820659598377_456_27/images/2023-02-03_06-03-59_UTC_2.jpg
0,Person,0.6303107142448425,data/shereenlovebug_333413_3029832820659598377_456_27/images/2023-02-03_06-03-59_UTC_3.jpg
0,Person,0.7681003212928772,data/mandirabedi_2034192_2889470489057495466_9167_86/images/2022-07-24_14-09-05_UTC_3.jpg
1,Person,0.655852735042572,data/mandirabedi_2034192_2889470489057495466_9167_86/images/2022-07-24_14-09-05_UTC_3.jpg
2,Clothing,0.628878116607666,data/mandirabedi_2034192_2889470489057495466_9167_86/images/2022-07-24_14-09-05_UTC_3.jpg
3,Top,0.5495696663856506,data/mandirabedi_2034192_2889470489057495466_9167_86/images/2022-07-24_14-09-05_UTC_3.jpg
4,Necklace,0.5188594460487366,data/mandirabedi_2034192_2889470489057495466_9167_86/images/2022-07-24_14-09-05_UTC_3.jpg
0,Clothing,0.6566762924194336,data/mandirabedi_2034192_2889470489057495466_9167_86/images/2022-07-24_14-09-05_UTC_2.jpg
1,Person,0.6291095614433289,data/mandirabedi_2034192_2889470489057495466_9167_86/images/2022-07-24_14-09-05_UTC_2.jpg
2,Person,0.6122531294822693,data/mandirabedi_2034192_2889470489057495466_9167_86/images/2022-07-24_14-09-05_UTC_2.jpg
3,Top,0.5692347884178162,data/mandirabedi_2034192_2889470489057495466_9167_86/images/2022-07-24_14-09-05_UTC_2.jpg
4,Top,0.5689709782600403,data/mandirabedi_2034192_2889470489057495466_9167_86/images/2022-07-24_14-09-05_UTC_2.jpg
0,Clothing,0.7223571538925171,data/mandirabedi_2034192_2889470489057495466_9167_86/images/2022-07-24_14-09-05_UTC_1.jpg
1,Top,0.5744121074676514,data/mandirabedi_2034192_2889470489057495466_9167_86/images/2022-07-24_14-09-05_UTC_1.jpg
0,Clothing,0.7223571538925171,data/mandirabedi_2034192_2889470489057495466_9167_86/images/2022-07-24_14-09-05_UTC_5.jpg
1,Top,0.5744121074676514,data/mandirabedi_2034192_2889470489057495466_9167_86/images/2022-07-24_14-09-05_UTC_5.jpg
0,Clothing,0.7199032306671143,data/mandirabedi_2034192_2889470489057495466_9167_86/images/2022-07-24_14-09-05_UTC_4.jpg
1,Person,0.5291521549224854,data/mandirabedi_2034192_2889470489057495466_9167_86/images/2022-07-24_14-09-05_UTC_4.jpg
0,Person,0.818166971206665,data/rahulkl_130314_3053766391959056433_4057_18/images/2023-03-08_06-35-43_UTC.jpg
1,Person,0.8144684433937073,data/rahulkl_130314_3053766391959056433_4057_18/images/2023-03-08_06-35-43_UTC.jpg
2,Person,0.8052887916564941,data/rahulkl_130314_3053766391959056433_4057_18/images/2023-03-08_06-35-43_UTC.jpg
3,Person,0.8030818700790405,data/rahulkl_130314_3053766391959056433_4057_18/images/2023-03-08_06-35-43_UTC.jpg
4,Clothing,0.7434142231941223,data/rahulkl_130314_3053766391959056433_4057_18/images/2023-03-08_06-35-43_UTC.jpg
