iter	CrossEntropy
0	0.6708210305
1	0.6708213125
2	0.6708171696
3	0.670817137
4	0.653394178
5	0.652218569
6	0.6522193267
7	0.6522174269
8	0.632570111
9	0.6166002393
10	0.6165996422
11	0.6087170419
12	0.6087174862
13	0.6087158426
14	0.6034579603
15	0.592778982
16	0.5804036379
17	0.5696780182
18	0.5557765567
19	0.5557764852
20	0.5489605812
21	0.5437543815
22	0.5437543666
23	0.5401426667
24	0.5366148761
25	0.5289859195
26	0.5289859742
27	0.5289858659
28	0.528985939
29	0.525196416
30	0.5251964829
31	0.5251963039
32	0.5204139286
33	0.5181771093
34	0.5181769402
35	0.5148768656
36	0.5118790899
37	0.5087412839
38	0.504634699
39	0.4998688664
40	0.4982625384
41	0.4964625965
42	0.4964626308
43	0.4950827962
44	0.4933011847
45	0.4933012008
46	0.4915556201
47	0.4894860746
48	0.4850249176
49	0.4820483265
50	0.4820482781
51	0.481493386
52	0.4761704507
53	0.4751461808
54	0.475145832
55	0.4748414024
56	0.4748413499
57	0.4735213496
58	0.4723506648
59	0.47235053
60	0.4713664256
61	0.4713663575
62	0.4708180339
63	0.4691378064
64	0.4686577297
65	0.4681886851
66	0.4671299666
67	0.4671298908
68	0.4671299577
69	0.4668251414
70	0.4668252815
71	0.4667236594
72	0.4659665212
73	0.4655007033
74	0.4647189206
75	0.4647188319
76	0.4640010211
77	0.4640010215
78	0.463719377
79	0.4635364319
80	0.4635364069
81	0.4631135283
82	0.4629540083
83	0.4622926525
84	0.4620405418
85	0.4619312866
86	0.4618164702
87	0.4618164591
88	0.4608944455
89	0.4607309781
90	0.4605761141
91	0.4602294702
92	0.4598131115
93	0.4569688305
94	0.4568798484
95	0.4558882104
96	0.4557115349
97	0.4552821559
98	0.4550858897
99	0.4550196235
100	0.4548926735
101	0.4546720986
102	0.4536051628
103	0.4536051628
104	0.4529065817
105	0.4528208945
106	0.4519008521
107	0.4519008822
108	0.4519008338
109	0.4517820614
110	0.4514398371
111	0.4514398221
112	0.4513657355
113	0.450714031
114	0.4506089414
115	0.4506089103
116	0.4505484523
117	0.4503983928
118	0.4500785752
119	0.4483851802
120	0.4483506213
121	0.4483410351
122	0.4482111072
123	0.4467450461
124	0.4466421257
125	0.4464067854
126	0.4463626576
127	0.44604666
128	0.4460466581
129	0.445929836
130	0.4459298115
131	0.4459297731
132	0.4459195932
133	0.4457099606
134	0.4456804838
135	0.4452793448
136	0.44507293
137	0.4449570547
138	0.4444539833
139	0.444282426
140	0.4416620885
141	0.4415153966
142	0.441229886
143	0.4412298966
144	0.4411955199
145	0.4409654196
146	0.4408556461
147	0.4401741892
148	0.4401741511
149	0.4400306793
150	0.4391597547
151	0.4391597167
152	0.4391597007
153	0.4391597169
154	0.439008438
155	0.4388907086
156	0.438874134
157	0.4388550699
158	0.4388550845
159	0.438739634
160	0.4386412352
161	0.4386001581
162	0.4384756229
163	0.4374336155
164	0.4372772233
165	0.4372772348
166	0.4372771838
167	0.4370364812
168	0.4370366032
169	0.4369530475
170	0.4366903859
171	0.4364475055
172	0.4364474921
173	0.4362709397
174	0.4362709878
175	0.4361941427
176	0.4361941307
177	0.4361941892
178	0.4354532552
179	0.435348308
180	0.435204068
181	0.4350586221
182	0.4350586613
183	0.4346732661
184	0.4346305057
185	0.4345506336
186	0.4330448174
187	0.4330448018
188	0.4330448327
189	0.4328011649
190	0.4328011579
191	0.4323826499
192	0.4323826249
193	0.4322862503
194	0.4322862356
195	0.4322862128
196	0.4320271945
197	0.4308040908
198	0.4307229251
199	0.4305775945
200	0.4305225049
201	0.4304855634
202	0.4299982391
203	0.4299982332
204	0.4299646282
205	0.4299646398
206	0.4299646256
207	0.4299646713
208	0.4299643453
209	0.4296801443
210	0.4288070946
211	0.4287374574
212	0.4287092641
213	0.4285988658
214	0.4284342221
215	0.4282712091
216	0.4282327785
217	0.4281668938
218	0.4280989639
219	0.4278547566
220	0.4278547469
221	0.4277897263
222	0.4275453248
223	0.4272515792
224	0.4271897112
225	0.4271897871
226	0.4271164531
227	0.4268984269
228	0.426808
229	0.4267126007
230	0.4267126112
231	0.4266816885
232	0.4263469108
233	0.4261521291
234	0.4261520687
235	0.4261010994
236	0.4259962532
237	0.4259962681
238	0.425842325
239	0.4258098696
240	0.4254523724
241	0.4249386101
242	0.424836281
243	0.4247747378
244	0.4244708125
245	0.4242472679
246	0.4242473593
247	0.4242472839
248	0.4239899272
249	0.4234543141
250	0.4219602791
251	0.4219598004
252	0.4219598427
253	0.4216561754
254	0.4216561227
255	0.4215296694
256	0.4215296747
257	0.4214355645
258	0.4213243798
259	0.4213160975
260	0.421293747
261	0.4212792931
262	0.4195605662
263	0.4195605344
264	0.4194246676
265	0.4194063956
266	0.4194063705
267	0.4194063948
268	0.419319473
269	0.4191512074
270	0.4191512245
271	0.4188633601
272	0.4188570627
273	0.4185842185
274	0.4179484971
275	0.4178986126
276	0.4178986455
277	0.4177985792
278	0.4177378463
279	0.4159464857
280	0.415756152
281	0.4157406402
282	0.4156124083
283	0.4150801481
284	0.415070023
285	0.4146081044
286	0.4145483667
287	0.4145220258
288	0.4145219839
289	0.414490479
290	0.4144904027
291	0.4143432983
292	0.4135412163
293	0.4135413063
294	0.4135206179
295	0.4125730413
296	0.4122897422
297	0.4107130667
298	0.4089675169
299	0.4089218568
300	0.4089056811
301	0.4087980212
302	0.4087979867
303	0.4087980542
304	0.408797962
305	0.4087754123
306	0.4087343927
307	0.4087343898
308	0.4087281553
309	0.4086162635
310	0.4086162437
311	0.4086162401
312	0.4086162208
313	0.408597599
314	0.408597599
315	0.408597599
316	0.408597599
317	0.408597599
318	0.4085679786
319	0.40763846
320	0.4054458035
321	0.4043018509
322	0.4043018949
323	0.4042163438
324	0.4042000179
325	0.4041999891
326	0.4032804259
327	0.4032527815
328	0.4032527807
329	0.402085205
330	0.4019346088
331	0.4017483296
332	0.4017483678
333	0.4017482957
334	0.4016598295
335	0.4016598123
336	0.4016063634
337	0.4015453186
338	0.4014130264
339	0.401374558
340	0.4013745758
341	0.4005209742
342	0.400521023
343	0.4005209928
344	0.3990415638
345	0.3990415853
346	0.3990244149
347	0.3990244456
348	0.39901239
349	0.3986724352
350	0.3984045971
351	0.3983736449
352	0.398373628
353	0.3983736841
354	0.3981907042
355	0.398179173
356	0.3981111539
357	0.3979778266
358	0.3979778285
359	0.3979607225
360	0.3979502106
361	0.3971177459
362	0.3970737358
363	0.3969585011
364	0.3969585911
365	0.3967820101
366	0.3967819984
367	0.3967486562
368	0.3959131128
369	0.3944562785
370	0.3943466532
371	0.3943359189
372	0.3943344261
373	0.3921917366
374	0.3921917377
375	0.3921917356
376	0.3906278463
377	0.3906236579
378	0.3906208838
379	0.3906209044
380	0.3898781424
381	0.388744694
382	0.3887037347
383	0.3886933818
384	0.388631789
385	0.3886049399
386	0.3885970005
387	0.3885970308
388	0.3885870878
389	0.3883683357
390	0.3881958483
391	0.3880784902
392	0.3867003869
393	0.3865719705
394	0.3865719848
395	0.3865719092
396	0.3863863258
397	0.3863821936
398	0.3863821471
399	0.3861648061
400	0.3861565595
401	0.38614406
402	0.3857567638
403	0.3857451945
404	0.3857452549
405	0.3856093118
406	0.3856093852
407	0.3855502162
408	0.3854426319
409	0.3854181866
410	0.3853179111
411	0.3852904179
412	0.3833140069
413	0.3833140862
414	0.3832212454
415	0.3819978196
416	0.3816420197
417	0.3816420032
418	0.3816419323
419	0.3816419681
420	0.3816276333
421	0.3816093772
422	0.3816093664
423	0.3816093506
424	0.3815971405
425	0.3815830301
426	0.381583019
427	0.3815829852
428	0.3815747262
429	0.381560244
430	0.3815431181
431	0.3815378573
432	0.3814825037
433	0.3814825235
434	0.3811541467
435	0.3811318209
436	0.381131781
437	0.3811252726
438	0.3801808024
439	0.3801612448
440	0.3801246032
441	0.3801246447
442	0.3800831766
443	0.3778556065
444	0.3778418282
445	0.3776493503
446	0.3760427715
447	0.376027245
448	0.3759964475
449	0.3759026098
450	0.3758157267
451	0.3757712761
452	0.3757690717
453	0.3756829833
454	0.3756371332
455	0.3756371102
456	0.3756137033
457	0.3755940264
458	0.3755694729
459	0.3753523542
460	0.3749643057
461	0.3749629232
462	0.3749629012
463	0.3749617324
464	0.3749617346
465	0.3748648557
466	0.3745125214
467	0.3745125214
468	0.3745125214
469	0.374509288
470	0.3744609621
471	0.3728022946
472	0.3728022871
473	0.3727821015
474	0.3727750401
475	0.3727750231
476	0.3726999016
477	0.3726821044
478	0.3726821314
479	0.3725916873
480	0.3723715762
481	0.3723201673
482	0.3723201576
483	0.3722806523
484	0.3721615565
485	0.3721559305
486	0.372155866
487	0.3721180545
488	0.371958673
489	0.3717555951
490	0.3698757079
491	0.3695425571
492	0.3693983018
493	0.3693375769
494	0.3693375234
495	0.3693376345
496	0.3693376126
497	0.3693375975
498	0.3691989885
499	0.3691989315
500	0.369198888
501	0.3691988811
502	0.3690352014
503	0.3690351806
