iter	Passed	Remaining
455	312	4919
456	313	4917
457	314	4917
458	314	4916
459	315	4916
460	316	4918
461	317	4915
462	317	4909
463	317	4906
464	318	4900
465	318	4898
466	319	4903
467	320	4898
468	320	4893
469	321	4889
470	321	4888
471	323	4902
472	323	4897
473	324	4894
474	324	4892
475	325	4887
476	326	4885
477	326	4883
478	327	4879
479	327	4880
480	328	4880
481	329	4880
482	329	4875
483	330	4873
484	330	4872
485	331	4870
486	331	4865
487	332	4864
488	333	4864
489	334	4864
490	336	4886
491	337	4887
492	337	4887
493	338	4887
494	338	4882
495	339	4876
496	339	4871
497	340	4866
498	340	4866
499	341	4862
500	341	4857
501	341	4851
502	342	4853
503	343	4848
504	343	4843
505	344	4840
506	344	4836
507	345	4835
508	345	4835
509	346	4831
510	346	4829
511	347	4825
512	349	4847
513	350	4842
514	350	4838
515	350	4834
516	351	4830
517	352	4833
518	352	4828
519	353	4826
520	353	4825
521	354	4822
522	355	4825
523	355	4822
524	356	4818
525	356	4815
526	357	4810
527	358	4812
528	358	4812
529	359	4807
530	359	4806
531	360	4802
532	361	4803
533	361	4801
534	362	4801
535	363	4812
536	364	4808
537	365	4808
538	365	4805
539	365	4801
540	366	4801
541	367	4797
542	367	4795
543	368	4791
544	368	4786
545	368	4783
546	369	4782
547	370	4780
548	370	4781
549	372	4787
550	372	4785
551	373	4784
552	374	4784
553	374	4782
554	375	4782
555	375	4780
556	376	4780
557	377	4779
558	378	4778
559	378	4775
560	378	4770
561	379	4768
562	379	4764
563	380	4765
564	381	4765
565	382	4768
566	383	4774
567	383	4770
568	384	4768
569	384	4764
570	385	4759
571	385	4755
572	386	4753
573	387	4754
574	387	4753
575	388	4751
576	388	4747
577	389	4745
578	389	4744
579	390	4744
580	391	4740
581	391	4738
582	392	4739
583	392	4736
584	393	4736
585	394	4732
586	394	4734
587	395	4734
588	396	4730
589	398	4748
590	398	4747
591	399	4747
592	400	4744
593	400	4742
594	402	4760
595	403	4759
596	403	4755
597	404	4752
598	404	4748
599	405	4743
600	405	4743
601	406	4740
602	406	4738
603	407	4736
604	407	4732
605	408	4728
606	409	4729
607	409	4725
608	409	4720
609	410	4717
610	410	4713
611	410	4708
612	411	4708
613	412	4706
614	412	4704
615	413	4703
616	413	4701
617	414	4704
618	415	4704
619	415	4700
620	416	4697
621	416	4693
622	417	4689
623	417	4689
624	418	4689
625	419	4685
626	419	4683
627	420	4683
628	420	4681
629	421	4678
630	421	4674
631	422	4675
632	423	4672
633	423	4668
634	423	4664
635	424	4660
636	424	4657
637	424	4653
638	425	4651
639	425	4647
640	426	4647
641	428	4665
642	429	4664
643	429	4660
644	430	4661
645	433	4683
646	434	4686
647	434	4682
648	437	4703
649	438	4700
650	438	4699
651	439	4696
652	440	4699
653	440	4697
654	441	4698
655	442	4699
656	442	4695
657	443	4693
658	443	4691
659	444	4688
660	444	4686
661	445	4688
662	446	4685
663	446	4682
664	447	4678
665	447	4679
666	449	4692
667	450	4689
668	450	4688
669	451	4686
670	451	4684
671	452	4680
672	453	4681
673	453	4679
674	454	4677
675	454	4677
676	455	4675
677	456	4674
678	456	4674
679	457	4672
680	459	4689
681	460	4686
682	460	4684
683	461	4681
684	462	4681
685	462	4681
686	463	4681
687	464	4681
688	464	4680
689	467	4697
690	467	4694
691	468	4690
692	468	4689
693	469	4687
694	470	4686
695	470	4686
696	471	4684
697	471	4680
698	472	4676
699	472	4676
700	473	4674
701	474	4678
702	474	4676
703	475	4675
704	475	4671
705	476	4668
706	476	4667
707	477	4663
708	478	4664
709	478	4661
710	479	4661
711	480	4660
712	480	4658
713	481	4658
714	481	4655
715	482	4656
716	482	4653
717	483	4650
718	484	4650
719	484	4650
720	485	4649
721	486	4651
722	487	4649
723	487	4645
724	487	4641
725	489	4655
726	491	4663
727	491	4661
728	492	4658
729	492	4655
730	493	4657
731	494	4654
732	496	4668
733	497	4667
734	497	4666
735	498	4666
736	498	4663
737	499	4661
738	500	4660
739	500	4660
740	501	4657
741	501	4655
742	502	4655
743	503	4656
744	504	4654
745	504	4651
746	504	4648
747	505	4646
748	506	4645
749	506	4642
750	507	4642
751	507	4639
752	508	4637
753	508	4636
754	509	4633
755	509	4630
756	510	4629
757	510	4626
758	511	4624
759	512	4625
760	512	4623
761	513	4623
762	513	4621
763	514	4620
764	515	4619
765	515	4618
766	516	4620
767	517	4619
768	517	4618
769	518	4614
770	518	4611
771	519	4613
772	520	4612
773	520	4611
774	521	4608
775	522	4613
776	523	4612
777	523	4609
778	524	4607
779	525	4614
780	526	4613
781	528	4627
782	529	4624
783	529	4622
784	530	4619
785	530	4616
786	531	4616
787	532	4618
788	533	4620
789	534	4624
790	535	4628
791	536	4626
792	536	4624
793	537	4621
794	537	4619
795	538	4617
796	538	4616
797	539	4613
798	540	4614
799	540	4611
800	541	4609
801	541	4607
802	542	4604
803	543	4608
804	543	4607
805	544	4604
806	545	4605
807	545	4603
808	546	4600
809	546	4597
810	546	4595
811	547	4592
812	547	4590
813	548	4591
814	549	4588
815	549	4586
816	550	4587
817	551	4585
818	551	4581
819	551	4580
820	552	4577
821	553	4577
822	553	4575
823	554	4576
824	555	4576
825	555	4576
826	556	4573
827	557	4572
828	557	4572
829	558	4573
830	559	4573
831	559	4570
832	560	4570
833	561	4571
834	561	4568
835	562	4568
836	563	4567
837	563	4565
838	564	4562
839	564	4562
840	565	4562
841	566	4560
842	566	4557
843	566	4554
844	567	4553
845	568	4551
846	568	4550
847	569	4548
848	570	4551
849	570	4547
850	571	4547
851	571	4544
852	572	4541
853	572	4539
854	573	4540
855	573	4539
856	576	4551
857	576	4550
858	577	4548
859	578	4549
860	578	4547
861	579	4546
862	579	4543
863	580	4540
864	581	4541
865	581	4539
866	582	4537
867	582	4535
868	583	4533
869	583	4532
870	584	4529
871	584	4529
872	585	4528
873	586	4526
874	586	4525
875	587	4522
876	588	4524
877	588	4523
878	588	4520
879	589	4519
880	590	4518
881	591	4525
882	592	4522
883	592	4520
884	593	4519
885	593	4516
886	594	4516
887	594	4513
888	595	4511
889	596	4511
890	596	4511
891	597	4511
892	598	4510
893	598	4509
894	599	4507
895	599	4504
896	600	4501
897	600	4500
898	601	4498
899	601	4497
900	602	4495
901	602	4493
902	603	4494
903	604	4491
904	604	4488
905	604	4486
906	605	4483
907	605	4481
908	606	4479
909	606	4478
910	607	4477
911	608	4476
912	608	4475
913	609	4474
914	609	4472
915	610	4470
916	611	4470
917	611	4469
918	612	4468
919	613	4470
920	613	4467
921	614	4466
922	614	4463
923	615	4460
924	615	4460
925	616	4457
926	616	4455
927	616	4452
928	617	4451
929	617	4448
930	618	4449
931	619	4447
932	619	4445
933	620	4442
934	620	4442
935	621	4439
936	621	4437
937	622	4437
938	623	4437
939	623	4436
940	625	4440
941	625	4440
942	628	4451
943	628	4449
944	629	4449
945	631	4461
946	633	4463
947	633	4463
948	634	4462
949	634	4461
950	635	4462
951	636	4461
952	637	4459
953	637	4458
954	638	4460
955	639	4461
956	640	4460
957	640	4457
958	641	4457
959	641	4454
960	641	4451
961	642	4450
962	643	4449
963	643	4446
964	644	4444
965	644	4442
966	645	4441
967	645	4439
968	646	4437
969	646	4434
970	647	4434
971	647	4432
972	648	4431
973	648	4429
974	648	4426
975	649	4423
976	650	4423
977	650	4422
978	651	4419
979	651	4417
980	652	4417
981	653	4420
982	654	4420
983	655	4421
984	655	4419
985	656	4417
986	656	4417
987	657	4415
988	657	4413
989	659	4422
990	660	4422
991	661	4424
992	662	4422
993	662	4421
994	663	4418
995	663	4417
996	664	4417
997	664	4414
998	665	4413
999	665	4411
1000	666	4411
1001	667	4411
1002	668	4414
1003	669	4414
1004	669	4412
1005	670	4411
1006	671	4413
1007	671	4410
1008	672	4411
1009	673	4410
1010	674	4411
1011	674	4409
1012	675	4406
1013	675	4406
1014	676	4405
1015	677	4404
1016	677	4402
1017	678	4401
1018	678	4401
1019	679	4398
1020	679	4396
1021	680	4393
1022	680	4392
1023	681	4391
1024	681	4391
1025	682	4389
1026	682	4387
1027	683	4386
1028	684	4387
1029	684	4384
1030	685	4384
1031	685	4381
1032	686	4382
1033	687	4381
1034	688	4380
1035	688	4380
1036	689	4379
1037	690	4379
1038	691	4380
1039	691	4379
1040	692	4377
1041	692	4376
1042	693	4375
1043	693	4372
1044	694	4371
1045	694	4370
1046	695	4370
1047	696	4369
1048	696	4368
1049	697	4369
1050	698	4369
1051	699	4367
1052	699	4365
1053	699	4363
1054	700	4363
1055	701	4361
1056	701	4360
1057	702	4358
1058	702	4355
1059	703	4356
1060	704	4356
1061	704	4354
1062	705	4353
1063	705	4351
1064	706	4350
1065	706	4348
1066	707	4345
1067	707	4343
1068	707	4341
1069	708	4340
1070	709	4339
1071	709	4337
1072	710	4337
1073	711	4337
1074	711	4336
1075	712	4334
1076	712	4331
1077	712	4329
1078	713	4328
1079	714	4328
1080	714	4328
1081	717	4337
1082	717	4336
1083	718	4337
1084	719	4335
1085	720	4336
1086	720	4334
1087	721	4333
1088	721	4331
1089	722	4329
1090	722	4328
1091	723	4325
1092	723	4326
1093	724	4324
1094	725	4325
1095	725	4323
1096	726	4323
1097	727	4323
1098	728	4324
1099	728	4322
1100	729	4320
1101	729	4320
1102	730	4319
1103	731	4320
1104	731	4318
1105	732	4316
1106	732	4315
1107	733	4313
1108	733	4311
1109	734	4311
1110	735	4309
1111	735	4307
1112	736	4306
1113	736	4303
1114	737	4303
1115	737	4302
1116	738	4302
1117	739	4301
1118	740	4306
1119	741	4305
1120	742	4305
1121	742	4304
1122	743	4303
1123	743	4301
1124	744	4299
1125	744	4298
1126	745	4296
1127	745	4293
1128	746	4293
1129	746	4292
1130	747	4290
1131	747	4288
1132	749	4292
1133	749	4292
1134	750	4290
1135	750	4288
1136	751	4289
1137	752	4290
1138	753	4287
1139	753	4285
1140	754	4285
1141	754	4283
1142	755	4282
1143	756	4284
1144	757	4284
1145	757	4283
1146	758	4282
1147	758	4281
1148	759	4281
1149	759	4279
1150	760	4279
1151	761	4278
1152	762	4280
1153	763	4280
1154	764	4280
1155	764	4279
1156	765	4278
1157	765	4276
1158	766	4274
1159	766	4273
1160	767	4271
1161	768	4272
1162	768	4271
1163	769	4272
1164	770	4272
1165	770	4270
1166	771	4271
1167	772	4269
1168	772	4268
1169	773	4268
1170	774	4266
1171	774	4264
1172	774	4262
1173	775	4260
1174	775	4259
1175	776	4257
1176	776	4254
1177	777	4253
1178	777	4251
1179	778	4251
1180	779	4250
1181	781	4261
1182	782	4260
1183	782	4258
1184	783	4258
1185	784	4257
1186	784	4257
1187	785	4256
1188	786	4255
1189	786	4253
1190	788	4258
1191	788	4256
1192	789	4254
1193	789	4252
1194	789	4250
1195	790	4248
1196	790	4246
1197	791	4244
1198	791	4242
1199	792	4242
1200	792	4241
1201	793	4240
1202	794	4238
1203	794	4238
1204	795	4236
1205	795	4235
1206	796	4233
1207	797	4234
1208	799	4243
1209	800	4241
1210	800	4240
1211	801	4239
1212	802	4239
1213	802	4237
1214	802	4235
1215	803	4234
1216	803	4233
1217	804	4233
1218	805	4234
1219	806	4233
1220	806	4232
1221	807	4230
1222	807	4229
1223	808	4227
1224	809	4226
1225	809	4226
1226	810	4225
1227	810	4224
1228	811	4223
1229	812	4222
1230	812	4221
1231	813	4220
1232	813	4218
1233	814	4216
1234	815	4217
1235	815	4215
1236	816	4215
1237	816	4214
1238	817	4213
1239	817	4211
1240	818	4210
1241	819	4210
1242	819	4208
1243	820	4206
1244	820	4205
1245	821	4203
1246	821	4203
1247	822	4203
1248	823	4201
1249	823	4200
1250	825	4207
1251	828	4216
1252	829	4216
1253	829	4214
1254	830	4215
1255	830	4213
1256	831	4211
1257	831	4210
1258	832	4210
1259	833	4209
1260	833	4208
1261	834	4207
1262	834	4206
1263	835	4206
1264	836	4204
1265	836	4203
1266	837	4202
1267	838	4202
1268	839	4202
1269	839	4200
1270	839	4198
1271	840	4198
1272	841	4197
1273	842	4199
1274	843	4198
1275	843	4196
1276	843	4194
1277	844	4194
1278	845	4193
1279	846	4194
1280	846	4193
1281	847	4191
1282	847	4190
1283	848	4188
1284	848	4186
1285	848	4184
1286	849	4184
1287	850	4183
1288	851	4183
1289	851	4182
1290	852	4180
1291	852	4179
1292	853	4177
1293	853	4176
1294	854	4175
1295	854	4173
1296	855	4171
1297	855	4169
1298	856	4168
1299	857	4173
1300	858	4173
1301	859	4172
1302	859	4171
1303	860	4169
1304	860	4169
1305	861	4168
1306	863	4173
1307	863	4172
1308	864	4170
1309	865	4171
1310	865	4169
1311	866	4169
1312	867	4169
1313	868	4169
1314	868	4169
1315	869	4169
1316	870	4171
1317	871	4169
1318	872	4169
1319	872	4169
1320	873	4167
1321	873	4165
1322	874	4163
1323	874	4162
1324	875	4160
1325	875	4160
1326	876	4160
1327	877	4159
1328	877	4159
1329	878	4158
1330	879	4157
1331	879	4157
1332	880	4157
1333	881	4156
1334	881	4155
1335	882	4153
1336	882	4151
1337	883	4149
1338	883	4149
1339	884	4148
1340	885	4147
1341	885	4145
1342	886	4146
1343	886	4144
1344	887	4144
1345	888	4142
1346	888	4143
1347	889	4141
1348	890	4140
1349	890	4138
1350	891	4139
1351	891	4138
1352	892	4136
1353	892	4135
1354	893	4133
1355	894	4133
1356	894	4131
1357	895	4130
1358	895	4128
1359	895	4127
1360	896	4125
1361	897	4124
1362	897	4125
1363	898	4124
1364	899	4123
1365	899	4121
1366	899	4119
1367	900	4118
1368	900	4116
1369	901	4115
1370	901	4113
1371	902	4114
1372	903	4113
1373	903	4111
1374	904	4111
1375	904	4109
1376	905	4108
1377	906	4107
1378	906	4105
1379	907	4105
1380	907	4104
1381	908	4102
1382	908	4102
1383	909	4101
1384	909	4099
1385	912	4107
1386	914	4114
1387	915	4112
1388	915	4111
1389	916	4110
1390	918	4118
1391	919	4116
1392	919	4114
1393	920	4113
1394	920	4111
1395	921	4111
1396	921	4109
1397	922	4107
1398	922	4107
1399	923	4106
1400	925	4109
1401	925	4108
1402	926	4106
1403	926	4106
1404	927	4104
1405	927	4102
1406	928	4101
1407	928	4099
1408	929	4098
1409	929	4098
1410	930	4097
1411	931	4098
1412	931	4096
1413	932	4094
1414	932	4093
1415	933	4092
1416	934	4092
1417	934	4091
1418	935	4090
1419	936	4091
1420	936	4090
1421	937	4089
1422	937	4087
1423	938	4086
1424	938	4084
1425	939	4083
1426	939	4082
1427	940	4081
1428	941	4080
1429	941	4079
1430	942	4078
1431	942	4077
1432	943	4078
1433	944	4075
1434	944	4074
1435	945	4073
1436	945	4071
1437	946	4070
1438	946	4069
1439	947	4068
1440	947	4066
1441	948	4066
1442	949	4065
1443	949	4066
1444	950	4064
1445	950	4063
1446	951	4061
1447	951	4059
1448	952	4058
1449	953	4060
1450	953	4058
1451	954	4057
1452	955	4058
1453	956	4059
1454	956	4057
1455	957	4056
1456	957	4054
1457	958	4054
1458	959	4053
1459	959	4051
1460	959	4050
1461	960	4047
1462	961	4047
1463	961	4047
1464	962	4046
1465	962	4044
1466	963	4043
1467	963	4041
1468	964	4040
1469	964	4038
1470	965	4037
1471	965	4036
1472	965	4034
1473	966	4035
1474	967	4033
1475	967	4032
1476	968	4030
1477	971	4038
1478	971	4037
1479	972	4037
1480	973	4038
1481	973	4036
1482	974	4036
1483	975	4035
1484	975	4033
1485	977	4038
1486	978	4037
1487	978	4035
1488	978	4033
1489	979	4032
1490	979	4031
1491	980	4030
1492	980	4028
1493	981	4027
1494	982	4027
1495	982	4026
1496	983	4026
1497	984	4025
1498	984	4024
1499	985	4024
1500	986	4025
1501	987	4024
1502	988	4024
1503	988	4022
1504	988	4021
1505	989	4019
1506	989	4019
1507	990	4018
1508	991	4018
1509	991	4016
1510	992	4015
1511	992	4013
1512	993	4015
1513	995	4016
1514	995	4015
1515	996	4014
1516	996	4012
1517	997	4011
1518	997	4009
1519	998	4009
1520	998	4007
1521	999	4007
1522	1000	4007
1523	1000	4006
1524	1001	4004
1525	1001	4003
1526	1002	4002
1527	1002	4000
1528	1003	3999
1529	1003	3998
1530	1004	3998
1531	1005	3997
1532	1005	3997
1533	1006	3995
1534	1006	3994
1535	1007	3994
1536	1007	3992
1537	1008	3992
1538	1009	3990
1539	1009	3989
1540	1010	3987
1541	1010	3986
1542	1011	3985
1543	1011	3985
1544	1012	3983
1545	1012	3982
1546	1013	3981
1547	1014	3981
1548	1014	3980
1549	1015	3979
1550	1016	3979
1551	1016	3978
1552	1017	3976
1553	1017	3976
1554	1018	3975
1555	1020	3981
1556	1021	3981
1557	1022	3981
1558	1022	3980
1559	1023	3978
1560	1024	3977
1561	1024	3977
1562	1025	3978
1563	1026	3977
1564	1027	3976
1565	1028	3978
1566	1028	3977
1567	1029	3977
1568	1030	3977
1569	1031	3976
1570	1031	3975
1571	1032	3974
1572	1034	3979
1573	1035	3980
1574	1035	3978
1575	1036	3976
1576	1036	3976
1577	1037	3976
1578	1038	3974
1579	1039	3977
1580	1040	3976
1581	1041	3979
1582	1042	3978
1583	1042	3976
1584	1043	3975
1585	1044	3977
1586	1045	3975
1587	1045	3974
1588	1046	3974
1589	1046	3973
1590	1047	3973
1591	1048	3973
1592	1048	3971
1593	1049	3969
1594	1049	3968
1595	1050	3966
1596	1050	3965
1597	1053	3971
1598	1053	3971
1599	1054	3971
1600	1055	3970
1601	1055	3968
1602	1057	3974
1603	1058	3973
1604	1058	3971
1605	1059	3970
1606	1059	3968
1607	1060	3967
1608	1061	3967
1609	1061	3966
1610	1062	3965
1611	1062	3964
1612	1063	3962
1613	1063	3961
1614	1064	3960
1615	1064	3959
1616	1065	3958
1617	1066	3957
1618	1066	3956
1619	1067	3955
1620	1067	3953
1621	1067	3952
1622	1068	3950
1623	1068	3948
1624	1069	3948
1625	1071	3954
1626	1072	3953
